customer_id,gender,age,marital_status,education,occupation,annual_income,city,state,join_date
C00193,Male,50,Single,High School,Salaried,2842055,Siliguri,West Bengal,04-09-2021
C00194,Female,42,Single,Master,Business,1344881,Mangaluru,Karnataka,01-08-2021
C00195,Female,23,Married,Bachelor,Professional,1601041,Ludhiana,Punjab,24-12-2021
C00196,Male,21,Married,Master,Professional,1379246,Guwahati,Assam,11-08-2025
C00197,Male,53,Married,Bachelor,Business,446109,Guwahati,Assam,26-02-2023
C00198,Female,39,Married,Bachelor,Business,250997,Raipur,Chhattisgarh,26-04-2025
C00199,Female,56,Married,MBA,Salaried,2709979,Vadodara,Gujarat,21-12-2024
C00200,Female,54,Single,Bachelor,Professional,2974792,Mumbai,Maharashtra,30-03-2020
C00201,Female,51,Divorced,Bachelor,Self-Employed,2258332,Guwahati,Assam,27-03-2025
C00202,Male,63,Single,Bachelor,Business,521703,Hyderabad,Telangana,01-02-2025
C00203,Female,44,Single,Master,Business,1131639,Jaipur,Rajasthan,23-01-2023
C00204,Male,32,Married,Bachelor,Business,928769,Udaipur,Rajasthan,14-06-2024
C00205,Female,33,Married,Bachelor,Business,676077,Noida,Uttar Pradesh,31-07-2022
C00206,Female,36,Married,Bachelor,Professional,980010,Lucknow,Uttar Pradesh,30-10-2023
C00207,Female,36,Single,High School,Self-Employed,1080533,Mysuru,Karnataka,18-12-2022
C00208,Female,40,Married,Bachelor,Salaried,1502477,Guwahati,Assam,20-05-2025
C00209,Male,61,Married,MBA,Government,1382405,Guwahati,Assam,11-01-2022
C00210,Male,47,Single,Master,Professional,2833934,Mangaluru,Karnataka,02-10-2025
C00211,Male,59,Single,High School,Professional,656715,Mumbai,Maharashtra,01-05-2024
C00212,Female,33,Married,High School,Government,1231497,Indore,Madhya Pradesh,05-12-2025
C00213,Male,24,Single,High School,Government,805319,Raipur,Chhattisgarh,04-08-2020
C00214,Female,52,Single,Bachelor,Business,2988007,Faridabad,Haryana,23-03-2023
C00215,Female,65,Single,Master,Self-Employed,2936909,Chennai,Tamil Nadu,21-08-2023
C00216,Male,60,Single,Bachelor,Professional,1396476,New Delhi,Delhi,27-05-2022
C00217,Female,54,Single,Bachelor,Professional,2063652,Gurugram,Haryana,10-04-2025
C00218,Female,59,Single,Bachelor,Salaried,872949,Bengaluru,Karnataka,27-03-2023
C00219,Male,63,Single,High School,Government,2847005,Guwahati,Assam,20-06-2024
C00220,Female,37,Divorced,Bachelor,Government,2979730,Bengaluru,Karnataka,03-03-2022
C00221,Female,44,Single,Master,Professional,1686478,Ranchi,Jharkhand,11-07-2022
C00222,Male,49,Married,Bachelor,Government,1726778,Gaya,Bihar,04-02-2020
C00223,Male,48,Divorced,Bachelor,Business,2783387,Ranchi,Jharkhand,24-11-2025
C00224,Female,65,Married,Bachelor,Salaried,1618565,Ahmedabad,Gujarat,23-09-2023
C00225,Male,42,Single,Master,Professional,377956,Mangaluru,Karnataka,25-08-2024
C00226,Female,48,Single,High School,Salaried,2222154,Guwahati,Assam,18-04-2024
C00227,Male,45,Married,High School,Business,2469765,Lucknow,Uttar Pradesh,25-09-2020
C00228,Female,61,Divorced,Bachelor,Salaried,1952803,Coimbatore,Tamil Nadu,16-04-2025
C00229,Male,23,Single,Bachelor,Government,2962154,Mumbai,Maharashtra,07-12-2022
C00230,Male,33,Married,Bachelor,Professional,688596,Coimbatore,Tamil Nadu,17-04-2020
C00231,Female,51,Married,High School,Salaried,1933254,Pune,Maharashtra,04-10-2023
C00232,Male,33,Married,Bachelor,Self-Employed,1369930,Gaya,Bihar,01-08-2021
C00233,Male,61,Married,Bachelor,Professional,659418,Guwahati,Assam,29-05-2021
C00234,Female,38,Married,High School,Salaried,1882752,Faridabad,Haryana,26-06-2022
C00235,Male,57,Single,Master,Professional,2703819,Ludhiana,Punjab,11-12-2025
C00236,Male,63,Married,Bachelor,Salaried,2905932,Bengaluru,Karnataka,04-05-2023
C00237,Male,54,Married,Bachelor,Salaried,1812409,Raipur,Chhattisgarh,21-11-2022
C00238,Female,37,Married,Bachelor,Government,856379,Mumbai,Maharashtra,27-05-2024
C00239,Male,41,Married,Master,Salaried,1598164,Guwahati,Assam,06-07-2023
C00240,Female,56,Married,PhD,Self-Employed,2626981,Warangal,Telangana,08-06-2023
C00241,Female,60,Single,Master,Government,1878247,Gaya,Bihar,19-10-2020
C00242,Male,39,Married,Bachelor,Self-Employed,1346445,New Delhi,Delhi,28-06-2021
C00243,Female,32,Married,Master,Self-Employed,2918334,New Delhi,Delhi,07-09-2024
C00244,Female,48,Married,Bachelor,Business,2067321,Kochi,Kerala,06-10-2021
C00245,Female,31,Married,Bachelor,Self-Employed,1895079,Gurugram,Haryana,12-05-2023
C00246,Female,57,Married,Bachelor,Salaried,1220965,Vadodara,Gujarat,31-03-2024
C00247,Male,48,Married,Bachelor,Professional,275382,Pune,Maharashtra,08-05-2022
C00248,Male,55,Married,High School,Government,537030,Cuttack,Odisha,07-08-2021
C00249,Male,64,Married,Bachelor,Government,1890160,Pune,Maharashtra,04-08-2025
C00250,Female,35,Single,High School,Government,1284422,Jodhpur,Rajasthan,11-05-2024
C00251,Female,36,Single,PhD,Professional,2173269,Guwahati,Assam,18-10-2023
C00252,Male,65,Married,High School,Self-Employed,2676814,Madurai,Tamil Nadu,03-11-2025
C00253,Female,27,Divorced,Bachelor,Business,839419,Mangaluru,Karnataka,12-04-2022
C00254,Male,23,Single,MBA,Salaried,1277897,Raipur,Chhattisgarh,13-07-2020
C00255,Female,51,Single,Master,Government,519008,Raipur,Chhattisgarh,14-08-2025
C00256,Male,32,Divorced,Bachelor,Salaried,479732,Hyderabad,Telangana,09-02-2021
C00257,Male,28,Married,Master,Self-Employed,1258814,Gaya,Bihar,23-06-2020
C00258,Male,45,Married,Bachelor,Business,2358045,New Delhi,Delhi,22-05-2025
C00259,Female,64,Single,Bachelor,Government,2507538,Mangaluru,Karnataka,01-03-2023
C00260,Male,55,Married,Master,Self-Employed,2499668,Noida,Uttar Pradesh,25-04-2025
C00261,Female,32,Married,High School,Business,959246,Jodhpur,Rajasthan,22-08-2021
C00262,Female,41,Married,Master,Government,510856,Raipur,Chhattisgarh,19-04-2020
C00263,Male,46,Single,High School,Self-Employed,2393629,Gaya,Bihar,16-01-2024
C00264,Male,22,Married,Master,Salaried,2631290,Bengaluru,Karnataka,15-08-2020
C00265,Female,34,Single,Bachelor,Professional,799390,Mumbai,Maharashtra,13-01-2022
C00266,Female,24,Single,PhD,Government,2530620,Mumbai,Maharashtra,16-01-2022
C00267,Male,37,Married,Bachelor,Business,2850194,Mysuru,Karnataka,15-07-2023
C00268,Male,25,Single,PhD,Business,938492,Ranchi,Jharkhand,20-10-2021
C00269,Female,44,Single,Bachelor,Professional,2649626,Kolkata,West Bengal,26-09-2023
C00270,Male,27,Married,Master,Professional,1695123,Bengaluru,Karnataka,02-01-2021
C00271,Male,43,Married,Master,Self-Employed,2445568,Gurugram,Haryana,25-07-2021
C00272,Male,37,Single,High School,Professional,1047146,Gaya,Bihar,13-02-2022
C00273,Male,32,Married,Master,Government,2400878,Ranchi,Jharkhand,20-03-2022
C00274,Female,31,Married,Bachelor,Professional,2131265,Bhubaneswar,Odisha,22-02-2022
C00275,Female,31,Married,Bachelor,Government,1543815,Surat,Gujarat,08-07-2024
C00276,Male,54,Married,Master,Salaried,1734421,Kolkata,West Bengal,16-12-2023
C00277,Male,57,Married,MBA,Professional,2009659,Vadodara,Gujarat,26-10-2020
C00278,Female,49,Single,Bachelor,Salaried,952648,Raipur,Chhattisgarh,03-07-2023
C00279,Female,56,Single,Bachelor,Business,1394624,Gurugram,Haryana,31-10-2021
C00280,Female,47,Married,Bachelor,Professional,1883874,Nagpur,Maharashtra,12-11-2023
C00281,Female,62,Divorced,Master,Business,692077,Lucknow,Uttar Pradesh,15-12-2020
C00282,Female,42,Single,PhD,Salaried,787291,Indore,Madhya Pradesh,10-03-2024
C00283,Male,22,Married,Master,Business,2126548,Guwahati,Assam,26-07-2024
C00284,Male,56,Divorced,Bachelor,Salaried,380971,Amritsar,Punjab,19-09-2023
C00285,Female,50,Married,Bachelor,Self-Employed,1864199,Siliguri,West Bengal,19-12-2023
C00286,Female,27,Single,Bachelor,Salaried,1346358,Mysuru,Karnataka,10-03-2025
C00287,Male,32,Married,MBA,Self-Employed,2628657,Ranchi,Jharkhand,24-12-2024
C00288,Female,23,Single,PhD,Business,328269,Thiruvananthapuram,Kerala,17-05-2020
C00289,Female,37,Married,Master,Salaried,2983067,Ludhiana,Punjab,05-12-2025
C00290,Male,61,Single,PhD,Self-Employed,1556582,Madurai,Tamil Nadu,28-09-2021
C00291,Male,52,Married,Bachelor,Salaried,1946615,Thiruvananthapuram,Kerala,18-04-2023
C00292,Male,28,Divorced,Master,Government,2560628,Nagpur,Maharashtra,09-08-2020
C00293,Male,43,Divorced,Bachelor,Government,2591199,Faridabad,Haryana,25-10-2023
C00294,Female,58,Married,Bachelor,Business,2164184,Patna,Bihar,08-06-2020
C00295,Male,50,Single,Master,Government,2917172,Guwahati,Assam,12-05-2023
C00296,Female,35,Single,Bachelor,Professional,2866736,Gaya,Bihar,11-06-2021
C00297,Female,30,Married,Master,Self-Employed,960144,Hyderabad,Telangana,08-09-2021
C00298,Female,58,Married,Master,Professional,382782,Cuttack,Odisha,22-06-2025
C00299,Female,35,Single,Master,Government,1593140,Surat,Gujarat,07-08-2024
C00300,Male,50,Married,Master,Business,398616,Ahmedabad,Gujarat,02-08-2020
C00301,Female,46,Divorced,Bachelor,Professional,1796513,Raipur,Chhattisgarh,25-04-2025
C00302,Female,65,Married,Bachelor,Business,1476411,Kolkata,West Bengal,20-11-2021
C00303,Female,34,Single,High School,Salaried,2690653,New Delhi,Delhi,05-04-2024
C00304,Male,23,Married,Bachelor,Professional,463222,Bhubaneswar,Odisha,07-01-2022
C00305,Male,56,Married,Bachelor,Salaried,1911158,Bhopal,Madhya Pradesh,11-02-2022
C00306,Male,46,Married,High School,Professional,2834382,Jaipur,Rajasthan,18-02-2024
C00307,Male,34,Married,Bachelor,Self-Employed,2742930,Pune,Maharashtra,06-05-2024
C00308,Male,51,Divorced,Bachelor,Business,2248959,Gurugram,Haryana,09-12-2023
C00309,Female,34,Married,High School,Salaried,1613089,Hyderabad,Telangana,25-12-2023
C00310,Male,60,Divorced,Bachelor,Government,885812,Warangal,Telangana,29-05-2025
C00311,Female,30,Married,Bachelor,Professional,2307564,Udaipur,Rajasthan,22-05-2020
C00312,Male,29,Married,High School,Salaried,2471263,Amritsar,Punjab,22-08-2023
C00313,Female,60,Married,Bachelor,Professional,679133,Madurai,Tamil Nadu,20-02-2021
C00314,Male,63,Single,Bachelor,Professional,362144,New Delhi,Delhi,12-04-2024
